seed,method,index_bits,horizon,calibration_horizon,weight_relative_mse,kernel_relative_mse,rollout_relative_mse,tail_rollout_relative_mse,max_radius,unstable_modes,operator_file_bytes,shared_projection_bytes,total_deployed_bytes,fit_elapsed_s,peak_cuda_bytes
0,fp32,8,64,128,0.0,0.0,0.0,0.0,0.9998864449885886,0,524,4096,4620,0.00040459632873535156,34803200
0,fp32,8,128,128,0.0,0.0,0.0,0.0,0.9998864449885886,0,524,4096,4620,0.00040459632873535156,36032512
0,fp32,8,256,128,0.0,0.0,0.0,0.0,0.9998864449885886,0,524,4096,4620,0.00040459632873535156,38482944
0,fp32,8,512,128,0.0,0.0,0.0,0.0,0.9998864449885886,0,524,4096,4620,0.00040459632873535156,43383808
0,cartesian_nearest,8,64,128,0.00296382985433362,24.80664322163454,7.730462187619621,10.293138056712339,1.0539728645022088,37,336,4096,4432,0.025696516036987305,36746240
0,cartesian_nearest,8,128,128,0.00296382985433362,6685.217726555171,1178.7857772134798,1619.9042174974948,1.0539728645022088,37,336,4096,4432,0.025696516036987305,36746240
0,cartesian_nearest,8,256,128,0.00296382985433362,1678676713.5512567,124951340.31227972,175591756.97463208,1.0539728645022088,37,336,4096,4432,0.025696516036987305,38483968
0,cartesian_nearest,8,512,128,0.00296382985433362,2.9841809274552975e+20,9.407034610977587e+18,1.3404326959541682e+19,1.0539728645022088,37,336,4096,4432,0.025696516036987305,43384832
0,cartesian_weight,8,64,128,0.048546362224904334,0.8338609999371007,0.7135765469732189,0.7889860776595565,0.9997876873031851,0,336,4096,4432,0.2617497444152832,36747264
0,cartesian_weight,8,128,128,0.048546362224904334,0.9344427144030552,0.8591034645547145,0.9069775437972791,0.9997876873031851,0,336,4096,4432,0.2617497444152832,36747264
0,cartesian_weight,8,256,128,0.048546362224904334,0.9747105672150136,0.9348592664794229,0.9737150132024521,0.9997876873031851,0,336,4096,4432,0.2617497444152832,38483968
0,cartesian_weight,8,512,128,0.048546362224904334,1.0098163379586131,0.9618076189795146,0.9851213214966104,0.9997876873031851,0,336,4096,4432,0.2617497444152832,43384832
0,cartesian_memory,8,64,128,0.9910569523636211,0.7778115817212249,0.6738933962671712,0.7399959807784489,0.9971704729830648,0,336,4096,4432,0.2570786476135254,54242304
0,cartesian_memory,8,128,128,0.9910569523636211,0.8485185459775568,0.7860411113239211,0.8218339455390707,0.9971704729830648,0,336,4096,4432,0.2570786476135254,54242304
0,cartesian_memory,8,256,128,0.9910569523636211,0.8981962645861143,0.8624199559700192,0.8926463425310215,0.9971704729830648,0,336,4096,4432,0.2570786476135254,54242304
0,cartesian_memory,8,512,128,0.9910569523636211,0.9300242260710726,0.8911331139657229,0.9113025661496608,0.9971704729830648,0,336,4096,4432,0.2570786476135254,54242304
0,cartesian_normalized_memory,8,64,128,0.5596748034279228,0.42998563814623586,0.40464231632764364,0.430286093210075,0.9998864531517029,0,336,4096,4432,0.2630150318145752,54242304
0,cartesian_normalized_memory,8,128,128,0.5596748034279228,0.5293905180668352,0.4491299521531514,0.4792325910740564,0.9998864531517029,0,336,4096,4432,0.2630150318145752,54242304
0,cartesian_normalized_memory,8,256,128,0.5596748034279228,0.999818509025831,0.7177972079737387,0.8280179076830095,0.9998864531517029,0,336,4096,4432,0.2630150318145752,54242304
0,cartesian_normalized_memory,8,512,128,0.5596748034279228,1.4308197508696958,1.0606363175879936,1.225608161366199,0.9998864531517029,0,336,4096,4432,0.2630150318145752,54242304
0,phase_nearest,8,64,128,4.2430369348114944e-05,0.05022866422018268,0.027050912538576315,0.034423371731178425,0.999886453151703,0,336,4096,4432,0.000701904296875,36747264
0,phase_nearest,8,128,128,4.2430369348114944e-05,0.18038164969909443,0.08931446330603157,0.11323624405598817,0.999886453151703,0,336,4096,4432,0.000701904296875,36747264
0,phase_nearest,8,256,128,4.2430369348114944e-05,0.6010177535405838,0.30477660382112665,0.3927972379621737,0.999886453151703,0,336,4096,4432,0.000701904296875,38483968
0,phase_nearest,8,512,128,4.2430369348114944e-05,1.304996561087851,0.8385373552043882,1.0580907718850185,0.999886453151703,0,336,4096,4432,0.000701904296875,43384832
0,phase_weight,8,64,128,4.235845994806079e-05,0.05024749795582354,0.026967767320000294,0.03433148021298399,0.9998864531517029,0,336,4096,4432,0.14402484893798828,36747264
0,phase_weight,8,128,128,4.235845994806079e-05,0.18060684802750035,0.08907974144697549,0.11297411822499653,0.9998864531517029,0,336,4096,4432,0.14402484893798828,36747264
0,phase_weight,8,256,128,4.235845994806079e-05,0.6004832357238372,0.3033461961604761,0.39085582572790706,0.9998864531517029,0,336,4096,4432,0.14402484893798828,38483968
0,phase_weight,8,512,128,4.235845994806079e-05,1.3140094680652732,0.8411051484129624,1.0617708120034552,0.9998864531517029,0,336,4096,4432,0.14402484893798828,43384832
0,phase_memory,8,64,128,0.04259341712334385,0.05087772542586634,0.029148073606626065,0.036125982985953944,0.999886453151703,0,336,4096,4432,0.24838709831237793,54242304
0,phase_memory,8,128,128,0.04259341712334385,0.1785422670130776,0.08695207057488828,0.10967868206796354,0.999886453151703,0,336,4096,4432,0.24838709831237793,54242304
0,phase_memory,8,256,128,0.04259341712334385,0.6004517462266501,0.2973908959063893,0.3829381885595063,0.999886453151703,0,336,4096,4432,0.24838709831237793,54242304
0,phase_memory,8,512,128,0.04259341712334385,1.305308547596871,0.8458563578866305,1.0672089210133642,0.999886453151703,0,336,4096,4432,0.24838709831237793,54242304
1,fp32,8,64,128,0.0,0.0,0.0,0.0,0.9998933601455421,0,524,4096,4620,0.0002779960632324219,34926080
1,fp32,8,128,128,0.0,0.0,0.0,0.0,0.9998933601455421,0,524,4096,4620,0.0002779960632324219,36032512
1,fp32,8,256,128,0.0,0.0,0.0,0.0,0.9998933601455421,0,524,4096,4620,0.0002779960632324219,38482944
1,fp32,8,512,128,0.0,0.0,0.0,0.0,0.9998933601455421,0,524,4096,4620,0.0002779960632324219,43383808
1,cartesian_nearest,8,64,128,0.0025423749875461833,15.450817732137773,3.9764998267803224,5.341082307230241,1.0539801526444248,33,336,4096,4432,0.000751495361328125,36746240
1,cartesian_nearest,8,128,128,0.0025423749875461833,5113.566394490936,744.2776041624536,1052.3014997894145,1.0539801526444248,33,336,4096,4432,0.000751495361328125,36746240
1,cartesian_nearest,8,256,128,0.0025423749875461833,1749615491.4095893,140390083.18056855,197947481.41635972,1.0539801526444248,33,336,4096,4432,0.000751495361328125,38483968
1,cartesian_nearest,8,512,128,0.0025423749875461833,4.6484754800471776e+20,1.391642209027618e+19,2.032342832859963e+19,1.0539801526444248,33,336,4096,4432,0.000751495361328125,43384832
1,cartesian_weight,8,64,128,0.0421333589540803,0.7871734708796844,0.6687482483288694,0.7310859525253851,0.9998818030371959,0,336,4096,4432,0.1404116153717041,36747264
1,cartesian_weight,8,128,128,0.0421333589540803,0.9139067100255676,0.8165041008788471,0.8697930081411857,0.9998818030371959,0,336,4096,4432,0.1404116153717041,36747264
1,cartesian_weight,8,256,128,0.0421333589540803,1.0795860071950993,0.9447964059526841,0.9988555663272789,0.9998818030371959,0,336,4096,4432,0.1404116153717041,38483968
1,cartesian_weight,8,512,128,0.0421333589540803,1.1252950889706266,1.082806893662387,1.1536752308061393,0.9998818030371959,0,336,4096,4432,0.1404116153717041,43384832
1,cartesian_memory,8,64,128,0.851286881032065,0.746094135208017,0.6524595956326809,0.7078786607589802,0.9970462083449091,0,336,4096,4432,0.24865293502807617,54242304
1,cartesian_memory,8,128,128,0.851286881032065,0.8136744844644705,0.7644953776844192,0.8107665787975112,0.9970462083449091,0,336,4096,4432,0.24865293502807617,54242304
1,cartesian_memory,8,256,128,0.851286881032065,0.9277845873343079,0.8554995083145658,0.8900014040702545,0.9970462083449091,0,336,4096,4432,0.24865293502807617,54242304
1,cartesian_memory,8,512,128,0.851286881032065,0.9747110521160717,0.9395397982476509,0.9894603816919827,0.9970462083449091,0,336,4096,4432,0.24865293502807617,54242304
1,cartesian_normalized_memory,8,64,128,0.7696626328277849,0.27205737589136786,0.26108791010909155,0.2796651701275185,0.999893367290497,0,336,4096,4432,0.2681102752685547,54242304
1,cartesian_normalized_memory,8,128,128,0.7696626328277849,0.4770253672850966,0.3330301361912033,0.3724948010839469,0.999893367290497,0,336,4096,4432,0.2681102752685547,54242304
1,cartesian_normalized_memory,8,256,128,0.7696626328277849,1.11506200508693,0.6888366192118054,0.8371576246525356,0.999893367290497,0,336,4096,4432,0.2681102752685547,54242304
1,cartesian_normalized_memory,8,512,128,0.7696626328277849,1.4849744419086668,1.135563198430399,1.3416426663353194,0.999893367290497,0,336,4096,4432,0.2681102752685547,54242304
1,phase_nearest,8,64,128,5.00324933775758e-05,0.06875685468510546,0.027483242974224133,0.03514742293099113,0.9998933672904969,0,336,4096,4432,0.0007004737854003906,36747264
1,phase_nearest,8,128,128,5.00324933775758e-05,0.26410594997807435,0.12828586497478955,0.16840270055222614,0.9998933672904969,0,336,4096,4432,0.0007004737854003906,36747264
1,phase_nearest,8,256,128,5.00324933775758e-05,0.7548966955672468,0.40311083474836257,0.5170434338467725,0.9998933672904969,0,336,4096,4432,0.0007004737854003906,38483968
1,phase_nearest,8,512,128,5.00324933775758e-05,1.243305609523712,0.9627024188191717,1.2135951578930646,0.9998933672904969,0,336,4096,4432,0.0007004737854003906,43384832
1,phase_weight,8,64,128,4.989145802785906e-05,0.06787998786702029,0.027338884295974062,0.03496145640939904,0.9998933672904967,0,336,4096,4432,0.1381521224975586,36747264
1,phase_weight,8,128,128,4.989145802785906e-05,0.2603988628781114,0.12678660873329822,0.16645717445589597,0.9998933672904967,0,336,4096,4432,0.1381521224975586,36747264
1,phase_weight,8,256,128,4.989145802785906e-05,0.753134286796581,0.3992661219671991,0.5122786320549775,0.9998933672904967,0,336,4096,4432,0.1381521224975586,38483968
1,phase_weight,8,512,128,4.989145802785906e-05,1.2528346693349615,0.9701616113423697,1.2251066522332503,0.9998933672904967,0,336,4096,4432,0.1381521224975586,43384832
1,phase_memory,8,64,128,0.2225993475352622,0.08030252237655924,0.05600190980345711,0.06258111459209957,0.9998933672904968,0,336,4096,4432,0.2498314380645752,54242304
1,phase_memory,8,128,128,0.2225993475352622,0.24305920148575186,0.13004789613868528,0.16252812255448743,0.9998933672904968,0,336,4096,4432,0.2498314380645752,54242304
1,phase_memory,8,256,128,0.2225993475352622,0.7409742231363959,0.39673033949124575,0.5089351467290077,0.9998933672904968,0,336,4096,4432,0.2498314380645752,54242304
1,phase_memory,8,512,128,0.2225993475352622,1.2840496169727806,0.9568137160560659,1.210255025030045,0.9998933672904968,0,336,4096,4432,0.2498314380645752,54242304
2,fp32,8,64,128,0.0,0.0,0.0,0.0,0.9998939338806715,0,524,4096,4620,0.0002818107604980469,34926080
2,fp32,8,128,128,0.0,0.0,0.0,0.0,0.9998939338806715,0,524,4096,4620,0.0002818107604980469,36032512
2,fp32,8,256,128,0.0,0.0,0.0,0.0,0.9998939338806715,0,524,4096,4620,0.0002818107604980469,38482944
2,fp32,8,512,128,0.0,0.0,0.0,0.0,0.9998939338806715,0,524,4096,4620,0.0002818107604980469,43383808
2,cartesian_nearest,8,64,128,0.0027707399550149637,37.178017801028346,10.642289432241103,14.40434607161072,1.0539626234058195,36,336,4096,4432,0.0007338523864746094,36746240
2,cartesian_nearest,8,128,128,0.0027707399550149637,13811.76198051842,1999.058996421284,2851.3837824639927,1.0539626234058195,36,336,4096,4432,0.0007338523864746094,36746240
2,cartesian_nearest,8,256,128,0.0027707399550149637,4829379951.989126,320826287.34512585,449622733.6161252,1.0539626234058195,36,336,4096,4432,0.0007338523864746094,38483968
2,cartesian_nearest,8,512,128,0.0027707399550149637,1.214694475366482e+21,3.4736519648323777e+19,4.9988550118669574e+19,1.0539626234058195,36,336,4096,4432,0.0007338523864746094,43384832
2,cartesian_weight,8,64,128,0.048011979103020436,0.8527012810607201,0.749647347776304,0.807983064736994,0.9990302910827454,0,336,4096,4432,0.14099740982055664,36747264
2,cartesian_weight,8,128,128,0.048011979103020436,0.9119160064654099,0.8483696996060073,0.8918018579219179,0.9990302910827454,0,336,4096,4432,0.14099740982055664,36747264
2,cartesian_weight,8,256,128,0.048011979103020436,0.94804625293938,0.9106370453055097,0.9340299481919374,0.9990302910827454,0,336,4096,4432,0.14099740982055664,38483968
2,cartesian_weight,8,512,128,0.048011979103020436,0.9690659220944643,0.9498384431713088,0.9648322745731641,0.9990302910827454,0,336,4096,4432,0.14099740982055664,43384832
