dataset,method,seed,epochs,best_epoch,val_accuracy,test_accuracy,test_loss,weight_connections,trainable_real_scalars,phase_bits_per_weight,theoretical_payload_bits,theoretical_bits_per_connection,checkpoint_bytes,elapsed_s,peak_cuda_bytes,magnitudes
mnist,complex_continuous,0,3,3,0.9402,0.9508,0.16966319274902344,421408,421880,32,13500160,32.03584174956337,1693737,14.606955289840698,444113920,"[0.4767746925354004, 0.08440514653921127, 0.02549830637872219, 0.12596042454242706]"
mnist,complex_phase4,0,3,3,0.9316,0.9399,0.21042088775634765,421408,421880,2,857920,2.0358417495633687,1693585,14.174423456192017,444113920,"[0.5286762714385986, 0.0933023989200592, 0.028159204870462418, 0.1389305293560028]"
mnist,complex_phase8,0,3,3,0.936,0.9442,0.19072058792114258,421408,421880,3,1279328,3.0358417495633687,1693585,14.159422397613525,444113920,"[0.489003449678421, 0.08645245432853699, 0.026106780394911766, 0.12893958389759064]"
mnist,real_phase4,0,3,3,0.8996,0.9131,0.298267903137207,421408,421646,2,850432,2.018072746601868,1693519,11.290513038635254,218995200,"[0.585969090461731, 0.10384299606084824, 0.03137894347310066, 0.1545683592557907]"
