seed,method,horizon,calibration_horizon,weight_relative_mse,kernel_relative_mse,rollout_relative_mse,tail_rollout_relative_mse,max_radius,unstable_modes,operator_file_bytes,shared_projection_bytes,total_deployed_bytes,fit_elapsed_s,peak_cuda_bytes
0,fp32,64,128,0.0,0.0,0.0,0.0,0.9998864449885886,0,524,4096,4620,0.00043392181396484375,34803200
0,fp32,128,128,0.0,0.0,0.0,0.0,0.9998864449885886,0,524,4096,4620,0.00043392181396484375,36032512
0,fp32,256,128,0.0,0.0,0.0,0.0,0.9998864449885886,0,524,4096,4620,0.00043392181396484375,38482944
0,fp32,512,128,0.0,0.0,0.0,0.0,0.9998864449885886,0,524,4096,4620,0.00043392181396484375,43383808
0,cartesian_nearest,64,128,0.0585551791519661,3.5764116699017644e+16,1950307145209551.5,2661849676958398.5,1.4138592759645126,64,304,4096,4400,0.02562117576599121,36746240
0,cartesian_nearest,128,128,0.0585551791519661,2.965457551575732e+35,1.350640581834191e+34,1.859681174670611e+34,1.4138592759645126,64,304,4096,4400,0.02562117576599121,36746240
0,cartesian_nearest,256,128,0.0585551791519661,4.944761138741144e+73,6.486748249198726e+71,9.11572846323717e+71,1.4138592759645126,64,304,4096,4400,0.02562117576599121,38483968
0,cartesian_nearest,512,128,0.0585551791519661,2.8927823237385957e+150,1.774001768702488e+148,2.5278210103352356e+148,1.4138592759645126,64,304,4096,4400,0.02562117576599121,43384832
0,cartesian_weight,64,128,0.038720272971313856,629448223.5352998,56264636.37006971,76791750.80166924,1.2193636004548913,13,304,4096,4400,0.3329792022705078,36747264
0,cartesian_weight,128,128,0.038720272971313856,3.2709203524090544e+19,2.0189190007068375e+18,2.7798258909581983e+18,1.2193636004548913,13,304,4096,4400,0.3329792022705078,36747264
0,cartesian_weight,256,128,0.038720272971313856,1.9948480808914002e+41,4.467590230387423e+39,6.278236469290068e+39,1.2193636004548913,13,304,4096,4400,0.3329792022705078,38483968
0,cartesian_weight,512,128,0.038720272971313856,1.3945482758152173e+85,1.481219471879179e+83,2.1106279418607438e+83,1.2193636004548913,13,304,4096,4400,0.3329792022705078,43384832
0,cartesian_memory,64,128,1.7861778390806988,214327984872248.3,17010625538761.602,23216716445395.43,1.368675725905982,62,304,4096,4400,0.25714635848999023,38998528
0,cartesian_memory,128,128,1.7861778390806988,2.083578859126951e+31,1.1905990554586739e+30,1.639321874225249e+30,1.368675725905982,62,304,4096,4400,0.25714635848999023,38998528
0,cartesian_memory,256,128,1.7861778390806988,1.0642900684866183e+66,2.1386774446771918e+64,3.0054508217634934e+64,1.368675725905982,62,304,4096,4400,0.25714635848999023,38998528
0,cartesian_memory,512,128,1.7861778390806988,5.158379437443394e+135,3.3099269734136534e+133,4.716400566043368e+133,1.368675725905982,62,304,4096,4400,0.25714635848999023,43384832
0,cartesian_normalized_memory,64,128,1.67765198531135,1.0480249568170943,0.9746519813290403,1.0066576549519917,0.9998864531517028,0,304,4096,4400,0.2580897808074951,38998528
